imgName,NDCMS,NAXIS1,NAXIS2,imgNoise,skNoise,skNoiseError,aveImgS,dSdskip,dSdskipError,pixVar,clustVar,tailRatio,DC,DCError,EXP,AMPL,HCKDIRN,VCKDIRN,ITGTIME,VIDGAIN,PRETIME,POSTIME,DGWIDTH,RGWIDTH,OGWIDTH,SWWIDTH,HWIDTH,HOWIDTH,VWIDTH,VOWIDTH,ONEVCKHI,ONEVCKLO,TWOVCKHI,TWOVCKLO,TGHI,TGLO,HUHI,HULO,HLHI,HLLO,RGHI,RGLO,SWLO,DGHI,DGLO,OGHI,OGLO,BATTR,VDD1,VDD2,DRAIN1,DRAIN2,VREF1,VREF2,OPG1,OPG2
Img_18.fits,4000,2400000,20,77.0795456488824,1.9381102124454763,0.06159941654679189,2.8280268650695186,-0.43408593832525294,0.2382224610336512,7272.551851713752,1855612.9259876937,2.922029184707157,0.0,0.0,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-5.0,-5.0,2.21,2.21
Img_17.fits,4000,2400000,20,76.73292263750592,1.5595495160057684,inf,2.3472132663450584,-0.34002102250444727,0.27944839054365517,7266.91946010524,86917.37823066735,2.918770742594267,1.164913117156223,1.1794082431904933,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-5.5,-5.5,2.21,2.21
Img_09.fits,1,1200,1200,1017.8307633942749,-1.0,-1.0,8.402149585900363,-1,-1,-1.0,-1.0,38.65639154198209,503.19367386915457,inf,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.25,-3.25,2.21,2.21
Img_01.fits,1,1200,1200,76.08690538601178,-1.0,-1.0,5.7944203381794726,-1,-1,-1.0,-1.0,105.17022316461366,4.752507027313845,0.3575429810485238,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_19.fits,4000,2400000,20,76.77828282812705,1.593621956603388,0.054348223394213094,3.017344075008321,-0.193301162429171,0.10831637628143981,7153.180088449677,1235239.208129734,2.9512709528375662,0.23450120019574586,0.0066775737227024005,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.0,-4.0,2.21,2.21
Img_20.fits,4000,2400000,20,77.03652055463738,1.589193701466749,0.049660725707064556,3.13980762374158,-0.1682503048252549,0.14762487306642538,7151.015278024204,2510565.656927013,3.0124608315518917,0.26952846168114647,0.006867596741178607,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.75,-3.75,2.21,2.21
Img_12.fits,1,1200,1200,115.64534478810025,41.63612106688897,68.33145516944107,6.41714285569873,-1,-1,-1.0,-1.0,51.76962302990521,10.91622940116037,0.500404732610213,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.45,-3.45,2.21,2.21
Img_22.fits,4000,2400000,20,155.0002710314876,2.8803055713769443,0.05690140566464927,2.716850003948568,0.09458268500990091,0.1481260825787217,23947.309685545624,23967.0376981262,0.0,0.00828873147936291,0.0035671025656400356,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.0,-3.0,2.21,2.21
Img_10.fits,1,1200,1200,1012.234230544029,-1.0,-1.0,8.358483565071474,-1,-1,-1.0,-1.0,41.05220496541422,646.5011499050405,inf,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.25,-3.25,2.21,2.21
Img_24.fits,4000,2400000,20,81.05441828913726,1.603283454950528,0.03980343696043822,5.037683945385021,-0.48773336807021933,0.24213258049732816,7235.04615870967,16772651.47415635,0.0,0.7147734697732218,0.06029752920888795,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,8.0,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
